Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"10,859",63.9,62.5,65.3,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP063,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,827",15.1,14,16.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP064,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,"1,005",10.8,9.8,11.8,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP065,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,838,8.4,7.6,9.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP066,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,135,1.9,1.4,2.3,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP067,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"3,873",66.1,64,68.2,366,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,5,BO1,CAT1,CHECKUP1,RESP063,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,484,11.1,9.7,12.5,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,5,BO1,CAT1,CHECKUP1,RESP064,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,314,10.2,8.7,11.7,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,5,BO1,CAT1,CHECKUP1,RESP065,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,367,10.1,8.7,11.5,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,5,BO1,CAT1,CHECKUP1,RESP066,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,89,2.5,1.7,3.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,5,BO1,CAT1,CHECKUP1,RESP067,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"6,012",66.6,65.3,67.9,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,6,BO1,CAT1,CHECKUP1,RESP063,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,281",15.1,14.1,16.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,6,BO1,CAT1,CHECKUP1,RESP064,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,720,9.2,8.3,10,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,6,BO1,CAT1,CHECKUP1,RESP065,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,637,7.5,6.8,8.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,6,BO1,CAT1,CHECKUP1,RESP066,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,112,1.6,1.2,1.9,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,6,BO1,CAT1,CHECKUP1,RESP067,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"8,867",62.7,61.6,63.8,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,8,BO1,CAT1,CHECKUP1,RESP063,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,931",15.7,14.9,16.5,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,8,BO1,CAT1,CHECKUP1,RESP064,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,"1,201",11.3,10.6,12.1,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,8,BO1,CAT1,CHECKUP1,RESP065,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,"1,002",8.8,8.2,9.5,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,8,BO1,CAT1,CHECKUP1,RESP066,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,140,1.5,1.2,1.9,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,8,BO1,CAT1,CHECKUP1,RESP067,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"6,031",72,70.5,73.4,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,9,BO1,CAT1,CHECKUP1,RESP063,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,014",14.5,13.3,15.6,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,9,BO1,CAT1,CHECKUP1,RESP064,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,459,7.2,6.3,8,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,9,BO1,CAT1,CHECKUP1,RESP065,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,328,5.3,4.6,6.1,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,9,BO1,CAT1,CHECKUP1,RESP066,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,53,1.1,0.7,1.5,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,9,BO1,CAT1,CHECKUP1,RESP067,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"3,385",74,72,76.1,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,10,BO1,CAT1,CHECKUP1,RESP063,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,434,12.8,11.2,14.4,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,10,BO1,CAT1,CHECKUP1,RESP064,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,225,7.4,6.2,8.7,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,10,BO1,CAT1,CHECKUP1,RESP065,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,163,4.7,3.7,5.7,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,10,BO1,CAT1,CHECKUP1,RESP066,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,33,1,0.6,1.4,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,10,BO1,CAT1,CHECKUP1,RESP067,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"3,213",74,71.5,76.5,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,11,BO1,CAT1,CHECKUP1,RESP063,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,498,15.1,13.1,17.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,11,BO1,CAT1,CHECKUP1,RESP064,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,213,7,5.5,8.5,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,11,BO1,CAT1,CHECKUP1,RESP065,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,96,3.5,2.3,4.6,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,11,BO1,CAT1,CHECKUP1,RESP066,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,13,,,,371,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS07,Topic36,11,BO1,CAT1,CHECKUP1,RESP067,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"7,706",73,71.7,74.2,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,12,BO1,CAT1,CHECKUP1,RESP063,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,885,11.4,10.4,12.3,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,12,BO1,CAT1,CHECKUP1,RESP064,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,542,7.2,6.4,7.9,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,12,BO1,CAT1,CHECKUP1,RESP065,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,564,8,7.2,8.8,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,12,BO1,CAT1,CHECKUP1,RESP066,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,36,0.5,0.3,0.8,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,12,BO1,CAT1,CHECKUP1,RESP067,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"4,947",71.7,70.1,73.4,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,13,BO1,CAT1,CHECKUP1,RESP063,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,579,11.5,10.4,12.7,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,13,BO1,CAT1,CHECKUP1,RESP064,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,342,8.1,7,9.1,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,13,BO1,CAT1,CHECKUP1,RESP065,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,335,7.1,6.1,8.1,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,13,BO1,CAT1,CHECKUP1,RESP066,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,59,1.6,1,2.1,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,13,BO1,CAT1,CHECKUP1,RESP067,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"4,930",67.6,66,69.2,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,15,BO1,CAT1,CHECKUP1,RESP063,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,942,14.3,13.1,15.5,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,15,BO1,CAT1,CHECKUP1,RESP064,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,633,8.7,7.8,9.6,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,15,BO1,CAT1,CHECKUP1,RESP065,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,650,8.7,7.7,9.6,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,15,BO1,CAT1,CHECKUP1,RESP066,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,52,0.7,0.4,1,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,15,BO1,CAT1,CHECKUP1,RESP067,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"3,488",58,56.1,60,366,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,16,BO1,CAT1,CHECKUP1,RESP063,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,711,15.5,14,17,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,16,BO1,CAT1,CHECKUP1,RESP064,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,534,11.1,9.9,12.4,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,16,BO1,CAT1,CHECKUP1,RESP065,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,654,14.4,13,15.9,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,16,BO1,CAT1,CHECKUP1,RESP066,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,46,0.9,0.6,1.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,16,BO1,CAT1,CHECKUP1,RESP067,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"3,680",69.2,67.5,70.9,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,17,BO1,CAT1,CHECKUP1,RESP063,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,640,13.8,12.5,15.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,17,BO1,CAT1,CHECKUP1,RESP064,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,368,8.4,7.4,9.4,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,17,BO1,CAT1,CHECKUP1,RESP065,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,321,7.7,6.7,8.8,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,17,BO1,CAT1,CHECKUP1,RESP066,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,36,0.9,0.5,1.2,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,17,BO1,CAT1,CHECKUP1,RESP067,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"8,271",65.1,63.8,66.3,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,18,BO1,CAT1,CHECKUP1,RESP063,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,325",13.2,12.4,14.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,18,BO1,CAT1,CHECKUP1,RESP064,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,824,9.5,8.7,10.2,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,18,BO1,CAT1,CHECKUP1,RESP065,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,929,11.6,10.7,12.5,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,18,BO1,CAT1,CHECKUP1,RESP066,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,66,0.7,0.5,0.9,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,18,BO1,CAT1,CHECKUP1,RESP067,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"6,144",71,69.6,72.4,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,19,BO1,CAT1,CHECKUP1,RESP063,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,851,12.2,11.2,13.2,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,19,BO1,CAT1,CHECKUP1,RESP064,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,472,7.4,6.6,8.2,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,19,BO1,CAT1,CHECKUP1,RESP065,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,496,8.2,7.3,9.1,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,19,BO1,CAT1,CHECKUP1,RESP066,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,65,1.2,0.9,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,19,BO1,CAT1,CHECKUP1,RESP067,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"9,782",67.8,66.7,68.8,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,20,BO1,CAT1,CHECKUP1,RESP063,"(38.34774030000045, -98.20078122699965)"
2014,KS,Kansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,585",13.2,12.5,14,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,20,BO1,CAT1,CHECKUP1,RESP064,"(38.34774030000045, -98.20078122699965)"
2014,KS,Kansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,935,8.7,8.1,9.4,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,20,BO1,CAT1,CHECKUP1,RESP065,"(38.34774030000045, -98.20078122699965)"
2014,KS,Kansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,923,8.5,7.9,9.1,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,20,BO1,CAT1,CHECKUP1,RESP066,"(38.34774030000045, -98.20078122699965)"
